time,branch,result,attempts,channel
2025-09-01T01:00:00Z,Downtown,success,3,mobile
2025-09-01T01:00:00Z,Downtown,failed,1,mobile
2025-09-01T01:00:00Z,Orchard,success,6,web
2025-09-01T01:00:00Z,Orchard,failed,0,mobile
2025-09-01T01:00:00Z,Tampines,success,1,web
2025-09-01T01:00:00Z,Tampines,failed,0,web
2025-09-01T01:00:00Z,Jurong East,success,3,web
2025-09-01T01:00:00Z,Jurong East,failed,0,mobile
2025-09-01T01:00:00Z,Woodlands,success,2,web
2025-09-01T01:00:00Z,Woodlands,failed,0,web
2025-09-01T01:00:00Z,Paya Lebar,success,1,mobile
2025-09-01T01:00:00Z,Paya Lebar,failed,0,web
2025-09-01T01:00:00Z,Chinatown,success,2,web
2025-09-01T01:00:00Z,Chinatown,failed,0,web
2025-09-01T01:00:00Z,Marina Bay,success,1,mobile
2025-09-01T01:00:00Z,Marina Bay,failed,0,mobile
2025-09-01T01:00:00Z,Novena,success,5,web
2025-09-01T01:00:00Z,Novena,failed,0,web
2025-09-01T01:00:00Z,Hougang,success,0,mobile
2025-09-01T01:00:00Z,Hougang,failed,0,web
2025-09-01T01:01:00Z,Downtown,success,7,mobile
2025-09-01T01:01:00Z,Downtown,failed,0,web
2025-09-01T01:01:00Z,Orchard,success,5,mobile
2025-09-01T01:01:00Z,Orchard,failed,1,web
2025-09-01T01:01:00Z,Tampines,success,7,mobile
2025-09-01T01:01:00Z,Tampines,failed,0,web
2025-09-01T01:01:00Z,Jurong East,success,2,mobile
2025-09-01T01:01:00Z,Jurong East,failed,0,mobile
2025-09-01T01:01:00Z,Woodlands,success,4,mobile
2025-09-01T01:01:00Z,Woodlands,failed,0,mobile
2025-09-01T01:01:00Z,Paya Lebar,success,3,web
2025-09-01T01:01:00Z,Paya Lebar,failed,1,web
2025-09-01T01:01:00Z,Chinatown,success,1,mobile
2025-09-01T01:01:00Z,Chinatown,failed,1,mobile
2025-09-01T01:01:00Z,Marina Bay,success,5,web
2025-09-01T01:01:00Z,Marina Bay,failed,1,web
2025-09-01T01:01:00Z,Novena,success,5,mobile
2025-09-01T01:01:00Z,Novena,failed,0,web
2025-09-01T01:01:00Z,Hougang,success,4,mobile
2025-09-01T01:01:00Z,Hougang,failed,0,mobile
2025-09-01T01:02:00Z,Downtown,success,4,mobile
2025-09-01T01:02:00Z,Downtown,failed,0,mobile
2025-09-01T01:02:00Z,Orchard,success,8,mobile
2025-09-01T01:02:00Z,Orchard,failed,0,mobile
2025-09-01T01:02:00Z,Tampines,success,1,mobile
2025-09-01T01:02:00Z,Tampines,failed,0,web
2025-09-01T01:02:00Z,Jurong East,success,6,web
2025-09-01T01:02:00Z,Jurong East,failed,0,mobile
2025-09-01T01:02:00Z,Woodlands,success,3,web
2025-09-01T01:02:00Z,Woodlands,failed,1,mobile
2025-09-01T01:02:00Z,Paya Lebar,success,0,mobile
2025-09-01T01:02:00Z,Paya Lebar,failed,0,web
2025-09-01T01:02:00Z,Chinatown,success,3,mobile
2025-09-01T01:02:00Z,Chinatown,failed,0,mobile
2025-09-01T01:02:00Z,Marina Bay,success,3,mobile
2025-09-01T01:02:00Z,Marina Bay,failed,1,web
2025-09-01T01:02:00Z,Novena,success,4,web
2025-09-01T01:02:00Z,Novena,failed,0,mobile
2025-09-01T01:02:00Z,Hougang,success,0,mobile
2025-09-01T01:02:00Z,Hougang,failed,0,mobile
2025-09-01T01:03:00Z,Downtown,success,6,mobile
2025-09-01T01:03:00Z,Downtown,failed,0,mobile
2025-09-01T01:03:00Z,Orchard,success,6,mobile
2025-09-01T01:03:00Z,Orchard,failed,0,mobile
2025-09-01T01:03:00Z,Tampines,success,7,mobile
2025-09-01T01:03:00Z,Tampines,failed,0,mobile
2025-09-01T01:03:00Z,Jurong East,success,6,web
2025-09-01T01:03:00Z,Jurong East,failed,0,mobile
2025-09-01T01:03:00Z,Woodlands,success,4,web
2025-09-01T01:03:00Z,Woodlands,failed,0,web
2025-09-01T01:03:00Z,Paya Lebar,success,5,mobile
2025-09-01T01:03:00Z,Paya Lebar,failed,0,mobile
2025-09-01T01:03:00Z,Chinatown,success,11,web
2025-09-01T01:03:00Z,Chinatown,failed,0,mobile
2025-09-01T01:03:00Z,Marina Bay,success,9,mobile
2025-09-01T01:03:00Z,Marina Bay,failed,0,web
2025-09-01T01:03:00Z,Novena,success,3,mobile
2025-09-01T01:03:00Z,Novena,failed,0,mobile
2025-09-01T01:03:00Z,Hougang,success,5,web
2025-09-01T01:03:00Z,Hougang,failed,1,web
2025-09-01T01:04:00Z,Downtown,success,13,web
2025-09-01T01:04:00Z,Downtown,failed,0,mobile
2025-09-01T01:04:00Z,Orchard,success,9,mobile
2025-09-01T01:04:00Z,Orchard,failed,0,mobile
2025-09-01T01:04:00Z,Tampines,success,7,mobile
2025-09-01T01:04:00Z,Tampines,failed,0,mobile
2025-09-01T01:04:00Z,Jurong East,success,9,mobile
2025-09-01T01:04:00Z,Jurong East,failed,0,mobile
2025-09-01T01:04:00Z,Woodlands,success,7,web
2025-09-01T01:04:00Z,Woodlands,failed,0,web
2025-09-01T01:04:00Z,Paya Lebar,success,4,mobile
2025-09-01T01:04:00Z,Paya Lebar,failed,0,mobile
2025-09-01T01:04:00Z,Chinatown,success,7,web
2025-09-01T01:04:00Z,Chinatown,failed,0,web
2025-09-01T01:04:00Z,Marina Bay,success,8,web
2025-09-01T01:04:00Z,Marina Bay,failed,0,web
2025-09-01T01:04:00Z,Novena,success,7,mobile
2025-09-01T01:04:00Z,Novena,failed,0,mobile
2025-09-01T01:04:00Z,Hougang,success,5,mobile
