time,service,cpu_util,mem_util,response_ms,status
2025-09-01T01:00:00Z,auth_api,48.43,38.11,111,ok
2025-09-01T01:00:00Z,payments_api,62.5,48.92,170,ok
2025-09-01T01:00:00Z,core_banking,49.06,55.33,125,ok
2025-09-01T01:00:00Z,reporting_db,53.56,58.21,155,ok
2025-09-01T01:01:00Z,auth_api,61.4,58.39,118,ok
2025-09-01T01:01:00Z,payments_api,55.4,46.21,173,ok
2025-09-01T01:01:00Z,core_banking,50.14,53.35,151,ok
2025-09-01T01:01:00Z,reporting_db,57.6,58.18,133,ok
2025-09-01T01:02:00Z,auth_api,48.64,48.63,131,ok
2025-09-01T01:02:00Z,payments_api,63.12,45.92,163,ok
2025-09-01T01:02:00Z,core_banking,51.51,62.18,92,ok
2025-09-01T01:02:00Z,reporting_db,52.31,52.21,118,ok
2025-09-01T01:03:00Z,auth_api,42.23,56.07,114,ok
2025-09-01T01:03:00Z,payments_api,53.75,53.16,157,ok
2025-09-01T01:03:00Z,core_banking,51.37,52.23,66,ok
2025-09-01T01:03:00Z,reporting_db,51.13,57.06,168,ok
2025-09-01T01:04:00Z,auth_api,54.47,45.14,104,ok
2025-09-01T01:04:00Z,payments_api,62.1,52.94,137,ok
2025-09-01T01:04:00Z,core_banking,37.77,62.78,88,ok
2025-09-01T01:04:00Z,reporting_db,40.82,54.72,97,ok
2025-09-01T01:05:00Z,auth_api,40.55,45.9,121,ok
2025-09-01T01:05:00Z,payments_api,62.18,49.57,175,ok
2025-09-01T01:05:00Z,core_banking,55.79,48.1,56,ok
2025-09-01T01:05:00Z,reporting_db,45.87,53.74,118,ok
2025-09-01T01:06:00Z,auth_api,53.02,51.17,132,ok
2025-09-01T01:06:00Z,payments_api,59.83,41.3,202,ok
2025-09-01T01:06:00Z,core_banking,53.01,51.23,81,ok
2025-09-01T01:06:00Z,reporting_db,56.91,57.53,155,ok
2025-09-01T01:07:00Z,auth_api,45.4,32.92,127,ok
2025-09-01T01:07:00Z,payments_api,49.49,48.47,170,ok
2025-09-01T01:07:00Z,core_banking,60.42,55.26,80,ok
2025-09-01T01:07:00Z,reporting_db,54.54,55.46,113,ok
2025-09-01T01:08:00Z,auth_api,53.2,46.21,100,ok
2025-09-01T01:08:00Z,payments_api,70.35,53.07,168,ok
2025-09-01T01:08:00Z,core_banking,50.25,48.51,138,ok
2025-09-01T01:08:00Z,reporting_db,43.64,53.92,140,ok
2025-09-01T01:09:00Z,auth_api,68.36,45.07,149,ok
2025-09-01T01:09:00Z,payments_api,52.86,42.01,153,ok
2025-09-01T01:09:00Z,core_banking,50.95,47.75,107,ok
2025-09-01T01:09:00Z,reporting_db,42.15,60.53,107,ok
2025-09-01T01:10:00Z,auth_api,47.53,39.92,107,ok
2025-09-01T01:10:00Z,payments_api,61.79,40.84,175,ok
2025-09-01T01:10:00Z,core_banking,54.93,54.47,84,ok
2025-09-01T01:10:00Z,reporting_db,55.19,57.72,152,ok
2025-09-01T01:11:00Z,auth_api,53.79,40.6,122,ok
2025-09-01T01:11:00Z,payments_api,60.51,37.55,111,ok
2025-09-01T01:11:00Z,core_banking,55.54,53.79,102,ok
2025-09-01T01:11:00Z,reporting_db,56.73,60.73,94,ok
2025-09-01T01:12:00Z,auth_api,63.43,38.46,129,ok
2025-09-01T01:12:00Z,payments_api,58.1,51.34,176,ok
2025-09-01T01:12:00Z,core_banking,48.73,63.45,107,ok
2025-09-01T01:12:00Z,reporting_db,53.09,45.73,64,ok
2025-09-01T01:13:00Z,auth_api,46.41,43.99,168,ok
2025-09-01T01:13:00Z,payments_api,59.77,49.92,153,ok
2025-09-01T01:13:00Z,core_banking,61.86,58.05,118,ok
2025-09-01T01:13:00Z,reporting_db,57.97,54.58,122,ok
2025-09-01T01:14:00Z,auth_api,55.87,47.4,78,ok
2025-09-01T01:14:00Z,payments_api,60.58,49.7,174,ok
2025-09-01T01:14:00Z,core_banking,54.03,59.29,139,ok
2025-09-01T01:14:00Z,reporting_db,46.52,48.21,165,ok
2025-09-01T01:15:00Z,auth_api,50.45,42.36,116,ok
2025-09-01T01:15:00Z,payments_api,68.74,44.76,167,ok
