time,branch,transactions_per_min
2025-09-01T01:00:00Z,Central,41
2025-09-01T01:00:00Z,Orchard,36
2025-09-01T01:00:00Z,Tampines,28
2025-09-01T01:00:00Z,Jurong,27
2025-09-01T01:00:00Z,Woodlands,18
2025-09-01T01:00:00Z,Toa Payoh,14
2025-09-01T01:00:00Z,Changi,14
2025-09-01T01:00:00Z,Clementi,29
2025-09-01T01:00:00Z,Punggol,29
2025-09-01T01:00:00Z,Bukit Timah,32
2025-09-01T01:00:00Z,Yishun,11
2025-09-01T01:00:00Z,Hougang,41
2025-09-01T01:01:00Z,Central,27
2025-09-01T01:01:00Z,Orchard,38
2025-09-01T01:01:00Z,Tampines,28
2025-09-01T01:01:00Z,Jurong,29
2025-09-01T01:01:00Z,Woodlands,10
2025-09-01T01:01:00Z,Toa Payoh,7
2025-09-01T01:01:00Z,Changi,13
2025-09-01T01:01:00Z,Clementi,41
2025-09-01T01:01:00Z,Punggol,24
2025-09-01T01:01:00Z,Bukit Timah,24
2025-09-01T01:01:00Z,Yishun,16
2025-09-01T01:01:00Z,Hougang,41
2025-09-01T01:02:00Z,Central,40
2025-09-01T01:02:00Z,Orchard,40
2025-09-01T01:02:00Z,Tampines,38
2025-09-01T01:02:00Z,Jurong,25
2025-09-01T01:02:00Z,Woodlands,14
2025-09-01T01:02:00Z,Toa Payoh,20
2025-09-01T01:02:00Z,Changi,20
2025-09-01T01:02:00Z,Clementi,27
2025-09-01T01:02:00Z,Punggol,32
2025-09-01T01:02:00Z,Bukit Timah,35
2025-09-01T01:02:00Z,Yishun,13
2025-09-01T01:02:00Z,Hougang,34
2025-09-01T01:03:00Z,Central,44
2025-09-01T01:03:00Z,Orchard,42
2025-09-01T01:03:00Z,Tampines,26
2025-09-01T01:03:00Z,Jurong,25
2025-09-01T01:03:00Z,Woodlands,24
2025-09-01T01:03:00Z,Toa Payoh,18
2025-09-01T01:03:00Z,Changi,18
2025-09-01T01:03:00Z,Clementi,43
2025-09-01T01:03:00Z,Punggol,25
2025-09-01T01:03:00Z,Bukit Timah,26
2025-09-01T01:03:00Z,Yishun,12
2025-09-01T01:03:00Z,Hougang,29
2025-09-01T01:04:00Z,Central,47
2025-09-01T01:04:00Z,Orchard,44
2025-09-01T01:04:00Z,Tampines,46
2025-09-01T01:04:00Z,Jurong,28
2025-09-01T01:04:00Z,Woodlands,14
2025-09-01T01:04:00Z,Toa Payoh,18
2025-09-01T01:04:00Z,Changi,6
2025-09-01T01:04:00Z,Clementi,44
2025-09-01T01:04:00Z,Punggol,21
2025-09-01T01:04:00Z,Bukit Timah,34
2025-09-01T01:04:00Z,Yishun,10
2025-09-01T01:04:00Z,Hougang,35
2025-09-01T01:05:00Z,Central,37
2025-09-01T01:05:00Z,Orchard,33
2025-09-01T01:05:00Z,Tampines,28
2025-09-01T01:05:00Z,Jurong,31
2025-09-01T01:05:00Z,Woodlands,17
2025-09-01T01:05:00Z,Toa Payoh,19
